Data Posição;Data Chegada;Ignição;Odômetro;Horímetro;RPM;T1;T2;T3;US;TS;TD1;TD2;TD3;UD1;UD2;UD3;Memória;Satelital;Ponto de Ref. Embarcado;Ponto de Referência;Sensores Inibidos;S. em modo seguro;A. em modo seguro;Cidade;UF
20/10/2025 14:21:45;20/10/2025 14:21:45;SIM;683348,8;12876h 4m;565;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:21:33;20/10/2025 14:21:33;SIM;683348,8;12876h 3m;566;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:18:40;20/10/2025 14:18:41;SIM;683348,8;12876h 0m;570;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:14:27;20/10/2025 14:14:28;SIM;683348,6;12875h 56m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:14:24;20/10/2025 14:14:25;SIM;683348,6;12875h 56m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:12:48;20/10/2025 14:12:49;SIM;683348,6;12875h 55m;0;-6;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:08:34;20/10/2025 14:08:35;SIM;683348,6;12875h 50m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:04:20;20/10/2025 14:04:21;SIM;683348,6;12875h 46m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:00:06;20/10/2025 14:00:07;SIM;683348,6;12875h 42m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 13:55:52;20/10/2025 13:55:53;SIM;683348,6;12875h 38m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
